name	name_ru	link	type	type_ru	subtype	subtype_ru	place	place_ru	lat	lon	lang	n_tokens	card_title	card_title_ru
Corpus of Russian spoken in Bashkortostan	Корпус русской речи Башкирии	http://lingconlab.ru/BashkirRus/	corpus	корпус	bilingual	билингвальный	Baimovo	Баимово	53.7377439427896	58.8417521398863	Russian	93&nbsp;127	Bashkortostan Russian	Башкирский русский
Corpus of Russian spoken by the Besermans	Корпус русской речи бесермян	http://lingconlab.ru/BesermanRus/	corpus	корпус	bilingual	билингвальный	Shamardan	Шамардан	58.0176303487814	52.1504272351055	Russian	97&nbsp;216	Beserman Russian	Бесермянский русский
Corpus of Russian spoken in Chuvashia	Корпус русской речи Чувашии	http://lingconlab.ru/ChuvashRus/	corpus	корпус	bilingual	билингвальный	Maloye Karachkino	Малое Карачкино	56.1580010871652	46.7607042341594	Russian	46&nbsp;307	Chuvash Russian	Чувашский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Archib	Арчиб	42.0667737913141	46.8686891234647	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Balkhar	Балхар	42.2787295960885	47.2311766742319	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Verkhniye Ubeki	Верхние Убеки	42.3670929471883	47.2450750893441	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Darwag	Дарваг	42.0239116208365	48.062863063121	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Dubek	Дубек	42.0244859122351	47.9654743412296	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Durangi	Дуранги	42.6354041927863	47.2237373834487	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Yersi	Ерси	42.0207413383442	48.0088832632428	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
